0, NVIDIA GeForce RTX 3090, GPU-0ba621dc-6dc5-e2e6-fad5-8e089bd4a91a, 24576 MiB, 457 MiB, 23668 MiB, 0 %, 580.159.03
1, NVIDIA GeForce RTX 3090, GPU-30001dcd-9aa9-924d-e331-c9562c8c9659, 24576 MiB, 4 MiB, 24121 MiB, 0 %, 580.159.03
2, NVIDIA GeForce RTX 3090, GPU-74d97f46-6284-1055-698a-e2db4e9c744b, 24576 MiB, 4 MiB, 24121 MiB, 0 %, 580.159.03
3, NVIDIA GeForce RTX 3090, GPU-5bc73c3c-34f7-5f72-b30a-f5b9df90c269, 24576 MiB, 4 MiB, 24121 MiB, 0 %, 580.159.03
4, NVIDIA GeForce RTX 3090, GPU-daa3c5f3-ae58-28e9-e065-7ec92537ccb1, 24576 MiB, 22095 MiB, 2031 MiB, 0 %, 580.159.03
5, NVIDIA GeForce RTX 3090, GPU-7f8c92f6-cc4a-3254-e0d4-d0eb31d7fb79, 24576 MiB, 17996 MiB, 6129 MiB, 0 %, 580.159.03
6, NVIDIA GeForce RTX 3090, GPU-7fc141af-7228-4a0f-9ac7-78bb3615aae5, 24576 MiB, 5 MiB, 24120 MiB, 0 %, 580.159.03
7, NVIDIA GeForce RTX 3090, GPU-01fe0496-2d96-9bad-bca2-935ad704d1c7, 24576 MiB, 4 MiB, 24121 MiB, 0 %, 580.159.03
