workload,configuration,kind,run_path,request_count,completed_count,completion_rate,duration_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_p50_s,tpot_p95_s,tpot_p99_s,output_token_throughput_s,completed_request_throughput_s,ttft_over_2s_fraction_submitted,peak_kv_capacity_blocks,peak_kv_used_blocks,time_weighted_kv_capacity_blocks,time_weighted_kv_used_blocks,morph_count,recovery_count,maximum_simultaneous_quantized_layers,valid_for_comparison
burstgpt,FP16,fp16,reproduction/experiments/end-to-end-burstgpt/fp16/results-batch5-v2,123,123,1.0,382.6380499280058,149.38596393400803,286.2322552819736,298.3256221013237,0.02624777378514409,0.03777640126645565,0.05374352028593421,164.5837365412276,0.3214526104320852,0.959349593495935,512,474,512.0,396.1905499962634,0,0,0,True
burstgpt,static real W4,static_w4,reproduction/experiments/end-to-end-burstgpt/static-w4/results-batch5-v2,123,123,1.0,549.3024641633965,238.01835300168023,438.98009764654563,458.01911829635503,0.03740041423588991,0.05441715335473418,0.08523303264752019,114.6472191707974,0.22392034994296367,0.959349593495935,1024,477,1024.0,395.24892515213986,0,0,32,True
burstgpt,MorphServe-default,morphserve-default,reproduction/experiments/end-to-end-burstgpt/morphserve-default/results-batch5,123,123,1.0,871.7297012340277,368.2621788829565,750.2892564376816,782.2813368293922,0.06549066677689552,0.08082907274365425,0.09121025262400499,72.24257692591024,0.14109878305841844,0.959349593495935,1736,473,1710.4895026898942,398.9450256621926,4,4,8,True
azure,FP16,fp16,reproduction/experiments/end-to-end-azure/fp16/results-batch5,94,94,1.0,290.75550728384405,106.20496773440391,194.8793176076375,207.38193162193522,0.026109372731298208,0.03596025798469782,0.05896590417250991,165.52738914422707,0.3232956819223185,0.9468085106382979,512,457,512.0,393.1892640333477,0,0,0,True
azure,static real W4,static_w4,reproduction/experiments/end-to-end-azure/static-w4/results-batch5,94,94,1.0,419.50189618300647,165.797620262485,310.95395147912205,329.86580473579,0.03766869008541107,0.056532097049057484,0.1102923578582704,114.7265374433595,0.22407526844406153,0.9468085106382979,1024,470,1024.0,394.73399803358365,0,0,32,True
azure,MorphServe-default,morphserve-default,reproduction/experiments/end-to-end-azure/morphserve-default/results-batch5,94,94,1.0,706.5708166267723,281.814899655059,579.1440214930568,614.7219832048519,0.06810942385345697,0.1111204968765378,0.19903886680025012,68.11489926765879,0.13303691263214606,0.9468085106382979,1736,454,1689.4042601198057,397.9513570808002,4,4,8,True
